Ep (Global): 755/100000 (Sesión: 160) | Steps: 41 | Score: 2 | Total Reward Ep: -101.0 | Epsilon: 0.6855 | Avg Score (100ep): 0.50 | Memory: 11363
Ep (Global): 765/100000 (Sesión: 170) | Steps: 10 | Score: 0 | Total Reward Ep: -60.0 | Epsilon: 0.6821 | Avg Score (100ep): 0.48 | Memory: 11526
Ep (Global): 775/100000 (Sesión: 180) | Steps: 13 | Score: 0 | Total Reward Ep: -63.0 | Epsilon: 0.6787 | Avg Score (100ep): 0.50 | Memory: 11716
Ep (Global): 785/100000 (Sesión: 190) | Steps: 5 | Score: 1 | Total Reward Ep: -85.0 | Epsilon: 0.6753 | Avg Score (100ep): 0.52 | Memory: 11886
Ep (Global): 795/100000 (Sesión: 200) | Steps: 52 | Score: 3 | Total Reward Ep: 8.0 | Epsilon: 0.6719 | Avg Score (100ep): 0.56 | Memory: 12088
Ep (Global): 805/100000 (Sesión: 210) | Steps: 15 | Score: 0 | Total Reward Ep: -65.0 | Epsilon: 0.6686 | Avg Score (100ep): 0.55 | Memory: 12261
Ep (Global): 815/100000 (Sesión: 220) | Steps: 29 | Score: 2 | Total Reward Ep: -39.0 | Epsilon: 0.6652 | Avg Score (100ep): 0.53 | Memory: 12396
Ep (Global): 825/100000 (Sesión: 230) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.6619 | Avg Score (100ep): 0.56 | Memory: 12606
Ep (Global): 835/100000 (Sesión: 240) | Steps: 18 | Score: 2 | Total Reward Ep: -78.0 | Epsilon: 0.6586 | Avg Score (100ep): 0.55 | Memory: 12720
Ep (Global): 845/100000 (Sesión: 250) | Steps: 14 | Score: 0 | Total Reward Ep: -64.0 | Epsilon: 0.6553 | Avg Score (100ep): 0.56 | Memory: 12922
Ep (Global): 855/100000 (Sesión: 260) | Steps: 8 | Score: 0 | Total Reward Ep: -58.0 | Epsilon: 0.6521 | Avg Score (100ep): 0.53 | Memory: 13101
Ep (Global): 865/100000 (Sesión: 270) | Steps: 33 | Score: 2 | Total Reward Ep: -93.0 | Epsilon: 0.6488 | Avg Score (100ep): 0.58 | Memory: 13295
Ep (Global): 875/100000 (Sesión: 280) | Steps: 23 | Score: 1 | Total Reward Ep: -53.0 | Epsilon: 0.6456 | Avg Score (100ep): 0.61 | Memory: 13482
Ep (Global): 885/100000 (Sesión: 290) | Steps: 29 | Score: 2 | Total Reward Ep: -39.0 | Epsilon: 0.6424 | Avg Score (100ep): 0.59 | Memory: 13635
Ep (Global): 895/100000 (Sesión: 300) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.6392 | Avg Score (100ep): 0.51 | Memory: 13755
Ep (Global): 905/100000 (Sesión: 310) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.6360 | Avg Score (100ep): 0.50 | Memory: 13907
Ep (Global): 915/100000 (Sesión: 320) | Steps: 36 | Score: 2 | Total Reward Ep: -46.0 | Epsilon: 0.6328 | Avg Score (100ep): 0.54 | Memory: 14122
Ep (Global): 925/100000 (Sesión: 330) | Steps: 37 | Score: 1 | Total Reward Ep: -67.0 | Epsilon: 0.6296 | Avg Score (100ep): 0.48 | Memory: 14258
Ep (Global): 935/100000 (Sesión: 340) | Steps: 30 | Score: 1 | Total Reward Ep: -110.0 | Epsilon: 0.6265 | Avg Score (100ep): 0.52 | Memory: 14439
Ep (Global): 945/100000 (Sesión: 350) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.6234 | Avg Score (100ep): 0.51 | Memory: 14585
Ep (Global): 955/100000 (Sesión: 360) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.6203 | Avg Score (100ep): 0.54 | Memory: 14769
Ep (Global): 965/100000 (Sesión: 370) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.6172 | Avg Score (100ep): 0.53 | Memory: 14969
Ep (Global): 975/100000 (Sesión: 380) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.6141 | Avg Score (100ep): 0.54 | Memory: 15165
Ep (Global): 985/100000 (Sesión: 390) | Steps: 10 | Score: 1 | Total Reward Ep: -40.0 | Epsilon: 0.6110 | Avg Score (100ep): 0.55 | Memory: 15330
Ep (Global): 995/100000 (Sesión: 400) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.6080 | Avg Score (100ep): 0.64 | Memory: 15570
Modelo Keras guardado en trained_data/dqn_snake_checkpoint.keras
Checkpoint (modelo Keras y estado de entrenamiento) guardado en episodio 1000
Ep (Global): 1005/100000 (Sesión: 410) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.6049 | Avg Score (100ep): 0.71 | Memory: 15800
Ep (Global): 1015/100000 (Sesión: 420) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.6019 | Avg Score (100ep): 0.70 | Memory: 15973
Ep (Global): 1025/100000 (Sesión: 430) | Steps: 31 | Score: 2 | Total Reward Ep: -41.0 | Epsilon: 0.5989 | Avg Score (100ep): 0.74 | Memory: 16156
Ep (Global): 1035/100000 (Sesión: 440) | Steps: 10 | Score: 1 | Total Reward Ep: -40.0 | Epsilon: 0.5959 | Avg Score (100ep): 0.78 | Memory: 16336
Ep (Global): 1045/100000 (Sesión: 450) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.5930 | Avg Score (100ep): 0.80 | Memory: 16580
Ep (Global): 1055/100000 (Sesión: 460) | Steps: 8 | Score: 0 | Total Reward Ep: -58.0 | Epsilon: 0.5900 | Avg Score (100ep): 0.82 | Memory: 16753
Ep (Global): 1065/100000 (Sesión: 470) | Steps: 17 | Score: 1 | Total Reward Ep: -47.0 | Epsilon: 0.5871 | Avg Score (100ep): 0.81 | Memory: 16924
Ep (Global): 1075/100000 (Sesión: 480) | Steps: 10 | Score: 0 | Total Reward Ep: -60.0 | Epsilon: 0.5841 | Avg Score (100ep): 0.79 | Memory: 17099
Ep (Global): 1085/100000 (Sesión: 490) | Steps: 15 | Score: 1 | Total Reward Ep: -45.0 | Epsilon: 0.5812 | Avg Score (100ep): 0.80 | Memory: 17290
Ep (Global): 1095/100000 (Sesión: 500) | Steps: 20 | Score: 0 | Total Reward Ep: -70.0 | Epsilon: 0.5783 | Avg Score (100ep): 0.79 | Memory: 17528
Ep (Global): 1105/100000 (Sesión: 510) | Steps: 19 | Score: 1 | Total Reward Ep: -99.0 | Epsilon: 0.5754 | Avg Score (100ep): 0.76 | Memory: 17733
Ep (Global): 1115/100000 (Sesión: 520) | Steps: 13 | Score: 0 | Total Reward Ep: -63.0 | Epsilon: 0.5726 | Avg Score (100ep): 0.78 | Memory: 17940
Ep (Global): 1125/100000 (Sesión: 530) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.5697 | Avg Score (100ep): 0.75 | Memory: 18117
Ep (Global): 1135/100000 (Sesión: 540) | Steps: 29 | Score: 1 | Total Reward Ep: -59.0 | Epsilon: 0.5669 | Avg Score (100ep): 0.71 | Memory: 18331
