Ep: 1130/10000 | Steps: 54 | Score: 3 | Total Reward: -94.0 | Epsilon: 0.5683 | Avg Score (last 100): 0.76 | Memory: 18392
Ep: 1140/10000 | Steps: 9 | Score: 1 | Total Reward: -89.0 | Epsilon: 0.5654 | Avg Score (last 100): 0.86 | Memory: 18653
Ep: 1150/10000 | Steps: 45 | Score: 1 | Total Reward: -125.0 | Epsilon: 0.5626 | Avg Score (last 100): 0.95 | Memory: 18955
Ep: 1160/10000 | Steps: 12 | Score: 1 | Total Reward: -92.0 | Epsilon: 0.5598 | Avg Score (last 100): 0.99 | Memory: 19150
Ep: 1170/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.5570 | Avg Score (last 100): 0.98 | Memory: 19283
Ep: 1180/10000 | Steps: 10 | Score: 1 | Total Reward: -40.0 | Epsilon: 0.5542 | Avg Score (last 100): 0.96 | Memory: 19472
Ep: 1190/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.5515 | Avg Score (last 100): 0.94 | Memory: 19639
Ep: 1200/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.5487 | Avg Score (last 100): 0.95 | Memory: 19874
Ep: 1210/10000 | Steps: 32 | Score: 1 | Total Reward: -112.0 | Epsilon: 0.5460 | Avg Score (last 100): 0.97 | Memory: 20082
Ep: 1220/10000 | Steps: 40 | Score: 6 | Total Reward: 30.0 | Epsilon: 0.5433 | Avg Score (last 100): 1.05 | Memory: 20295
Ep: 1230/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.5406 | Avg Score (last 100): 1.10 | Memory: 20581
Ep: 1240/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.5379 | Avg Score (last 100): 0.98 | Memory: 20714
Ep: 1250/10000 | Steps: 22 | Score: 1 | Total Reward: -52.0 | Epsilon: 0.5352 | Avg Score (last 100): 0.94 | Memory: 20925
Ep: 1260/10000 | Steps: 42 | Score: 3 | Total Reward: -82.0 | Epsilon: 0.5325 | Avg Score (last 100): 0.96 | Memory: 21203
Ep: 1270/10000 | Steps: 22 | Score: 1 | Total Reward: -52.0 | Epsilon: 0.5299 | Avg Score (last 100): 1.02 | Memory: 21408
